Rep,year,id,nCSDage0,totalCSDage0
NA,NA,NA,NA,NA
5,8,2952113,29,89
5,8,2953054,33,89
5,8,2954914,28,89
5,8,2955640,35,89
5,9,3308106,26,65
5,9,3308107,22,65
5,9,3308108,18,65
5,9,3308109,25,65
5,9,3308110,23,65
5,9,3308111,21,65
5,9,3308112,23,65
5,9,3308113,27,65
5,9,3308114,23,65
5,9,3308115,24,65
5,9,3308116,23,65
5,9,3308117,28,65
5,9,3308118,23,65
5,9,3308119,20,65
5,9,3308120,29,65
5,9,3308121,24,65
5,9,3308122,29,65
5,9,3308123,29,65
5,9,3308124,25,65
5,9,3308125,32,65
5,9,3308737,18,65
5,9,3309024,29,65
5,9,3309317,32,65
5,9,3310125,31,65
5,9,3310882,26,65
5,10,3629958,13,53
5,10,3629959,26,53
5,10,3629960,18,53
5,10,3629961,19,53
5,10,3629962,17,53
5,10,3629963,26,53
5,10,3629964,15,53
5,10,3629965,18,53
5,10,3629966,19,53
5,10,3629967,25,53
5,10,3629968,25,53
5,10,3629969,29,53
5,10,3629970,25,53
5,10,3629971,23,53
5,10,3629972,19,53
5,10,3629973,19,53
5,10,3629974,20,53
5,10,3629975,27,53
5,10,3629976,22,53
5,10,3629977,25,53
5,10,3630605,17,53
5,10,3630727,30,53
5,10,3631198,18,53
5,10,3632002,22,53
NA,NA,NA,NA,NA
6,1,579021,29,120
6,1,579022,23,120
6,1,579023,27,120
6,1,579024,22,120
6,1,579025,29,120
6,1,579026,24,120
